Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,7726
Start date:,2026-08-18
End date:,2026-08-25

ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
14.07,162.7,Brenton Strange,TE,JAX,84,20.2,111,204,7
14.07,162.7,Devaughn Vele,WR,NO,15,17.6,133,204,8
14.07,162.8,Jaylin Noel,WR,HOU,27,13.7,134,194,8
14.07,162.8,Isaac TeSlaa,WR,DET,9,37.7,77,206,6
14.07,162.8,Malik Willis,QB,MIA,206,14.0,126,197,6
14.07,163.0,Emmett Johnson,RB,KC,7,10.0,147,176,5
14.07,163.0,Dalton Schultz,TE,HOU,50,19.7,111,193,8
14.07,163.2,Kaelon Black,RB,SF,32,25.4,112,206,8
14.07,163.4,Adonai Mitchell,WR,NYJ,75,13.9,127,181,13
14.08,163.6,Najee Harris,RB,NYG,5,17.7,144,187,8
14.08,164.0,Fernando Mendoza,QB,LV,21,28.3,120,207,13
14.08,164.1,Brian Robinson,RB,ATL,36,24.9,118,206,11
14.09,165.3,Baltimore Defense,DEF,BAL,285,19.8,113,209,13
14.09,165.5,Omar Cooper Jr.,WR,NYJ,11,36.1,72,205,13
14.10,166.1,Cairo Santos,PK,CHI,43,18.3,135,210,10
14.10,166.5,Kayshon Boutte,WR,HOU,64,19.3,116,209,8
14.11,166.7,Dontayvion Wicks,WR,PHI,103,19.2,116,209,10
14.11,166.8,T.J. Hockenson,TE,MIN,47,21.4,113,207,6
14.11,167.2,Eddy Piñeiro,PK,SF,73,15.9,125,206,8
14.11,167.3,Dallas Defense,DEF,DAL,52,22.3,123,208,14
14.12,167.6,Jaydon Blue,RB,DAL,14,13.2,155,202,14
14.12,167.8,Bub Means,WR,NO,5,32.8,115,200,8
14.12,167.9,Germie Bernard,WR,PIT,33,10.7,143,198,9
14.12,168.1,Tre' Harris,WR,LAC,16,27.1,102,206,7
14.12,168.3,Andy Borregales,PK,NE,15,22.2,124,206,11
14.12,168.4,Cam Ward,QB,TEN,44,12.7,141,196,9
14.12,168.4,Justice Hill,RB,BAL,25,12.2,136,192,13
15.01,168.6,Jacoby Brissett,QB,ARI,21,19.3,118,193,14
15.01,169.1,James Conner,RB,ARI,19,13.4,141,194,14
15.01,169.1,NY Giants Defense,DEF,NYG,20,20.1,136,209,8
15.01,169.2,Aaron Rodgers,QB,PIT,23,32.7,84,209,9
15.01,169.4,Travis Hunter,WR,JAX,61,11.8,138,196,7
15.03,170.8,Chicago Defense,DEF,CHI,25,21.3,140,210,10
15.03,170.8,Evan McPherson,PK,CIN,99,15.2,137,206,6
15.03,171.1,Tennessee Defense,DEF,TEN,141,11.2,141,206,9
15.03,171.5,Nick Folk,PK,ATL,22,30.1,93,204,11
15.04,172.2,Kaden Wetjen,WR,PIT,41,4.0,163,178,9
15.04,172.5,Xavier Hutchinson,WR,HOU,6,23.9,133,198,8
15.05,172.7,New Orleans Defense,DEF,NO,98,15.2,135,208,8
15.05,172.8,Caleb Douglas,WR,MIA,53,18.8,132,208,6
15.09,176.6,Xavier Legette,WR,CAR,8,23.7,123,200,5
15.09,177.2,Troy Franklin,WR,DEN,14,19.6,141,206,10
15.10,178.4,Atlanta Defense,DEF,ATL,65,20.5,125,210,11
15.11,178.9,Darius Slayton,WR,NYG,10,11.0,166,200,8
15.11,179.2,Ty Johnson,RB,BUF,12,22.7,145,209,7
15.12,180.2,Geno Smith,QB,NYJ,5,9.9,173,197,13
16.01,181.5,Cincinnati Defense,DEF,CIN,41,36.0,87,210,6
16.02,181.6,Dominic Zvada,PK,NYG,5,12.3,168,197,8
16.03,183.0,Greg Dulcich,TE,MIA,23,22.9,123,210,6
16.05,185.0,Pat Freiermuth,TE,PIT,6,28.4,144,210,9
16.09,189.4,Washington Defense,DEF,WAS,9,31.1,116,210,7
